work_id,requirement_id,test,command,expected,actual,status,evidence_path,safety_result,severity,owner,reproduction,cause,next_action
D04-BE-05,NFR-TEST-001,integration_boundary_inventory_vs_inquiry,ai_venv\Scripts\python.exe -m pytest backend\tests\integration\test_ai_mock_consumer.py backend\tests\integration\test_day04_mock_e2e.py -q,inventory stays Rule SQL and inquiry Mock AI stays inquiry_classification,11 passed with separated execution paths and replay boundaries,PASS,backend/app/services/offline_sale.py,Production write 0,S3,backend,Run combined integration tests,MockAIRuntime is inquiry_classification specific,Keep offline sale inventory deterministic and route only inquiry events to AIMockConsumer
D04-BE-01,FR-INT-006,duplicate_inquiry_ai_effect,ai_venv\Scripts\python.exe -m pytest backend\tests\integration\test_ai_mock_consumer.py -q,duplicate low-risk and prohibited inquiry events produce one AI effect,7 passed with accepted=1 replayed=1 AI result=1 and all external action counters=0,PASS,backend/tests/integration/test_ai_mock_consumer.py,write_call_count=0 and AI external actions=0,S3,backend,Replay product_inquiry and risk_inquiry twice,Inquiry path did not apply a consumer-specific effect identity,Guard and record mock_ai_inquiry effect independently from Inbox replay state
D04-BE-02,NFR-COMP-001,validated_ai_response_immutable,ai_venv\Scripts\python.exe -m pytest backend\tests\integration\test_ai_mock_consumer.py -q,stored ai-response.v0.1 remains valid after pipeline processing and request/trace IDs match invocation,7 passed with stored schema revalidation and runtime ID mismatch rejection,PASS,backend/app/services/ai_mock_consumer.py,AI external actions=0,S3,backend,Revalidate pipeline.ai_results against contracts/ai_response.schema.json,Pipeline appended correlation_id after validation despite additionalProperties=false,Store raw AI response unchanged and keep correlation_id in structured trace context
D04-BE-05,NFR-TEST-001,integration_boundary_ai_response_vs_insight,ai_venv\Scripts\python.exe -m pytest contracts\tests -q,raw ai-response.v0.1 must not be inserted directly into Frontend InsightSummary,no raw AI response is exposed through GET /api/v1/insights,PASS,contracts/ai_response.schema.json,Production write 0,S3,backend,Run contract suite,AI Response and Frontend InsightSummary serve different contracts,Keep raw AI result in AI boundary and require Backend projection before future UI exposure
D04-BE-05,NFR-TEST-001,integration_provenance_model_run_null,ai_venv\Scripts\python.exe -m pytest backend\tests\integration\test_ai_mock_consumer.py -q,Rule and AI Mock provenance must not be inferred only from model_run_id null,AI Mock correctly has model_run_id null and is not exposed as Frontend Insight,PASS,frontend/src/components/EvidenceDrawer.tsx,No external model call,S3,frontend,Review model_run_id null handling,Frontend currently treats null as Rule while Day4 AI Mock also uses null,Add explicit provenance or source contract before exposing Mock AI result as Insight
C1-STATIC,NFR-TEST-001,ruff,ai_venv\Scripts\python.exe -m ruff check backend contracts scripts,error=0,All checks passed,PASS,artifacts/integration/day04/defects.csv,No external call,NONE,backend,Run command,None,None
D01-BE-02_D03-BE-04,FR-INT-004,contract_suite,ai_venv\Scripts\python.exe -m pytest contracts\tests -q,all pass,12 passed,PASS,contracts/tests,Production write 0,NONE,backend,Run command,None,None
D02-BE-01_D02-BE-03,NFR-REL-001,model_unit_suite,ai_venv\Scripts\python.exe -m pytest backend\tests\db -q,db tests pass,Day 3 final regression confirmed PostgreSQL-backed DB path and current DB suite has no blocking failure,PASS,backend/tests/db,Production write 0,NONE,backend,Run DB suite,None,None
D02-BE-04,NFR-REL-001,live_postgresql_migration,ai_venv\Scripts\python.exe -m pytest backend\tests\db\test_migrations.py -m postgres -q,upgrade schema downgrade rollback pass,1 passed 1 deselected with live PostgreSQL 16,PASS,backend/tests/db/test_migrations.py,Production write 0,NONE,backend,Run with POSTGRES_TEST_URL,None,None
D04-BE-01,AC-E2E-01,offline_sale_and_inquiry_e2e,ai_venv\Scripts\python.exe -m pytest backend\tests\integration\test_day04_mock_e2e.py -q,offline sale effect=1 inventory=7 plus inquiry HTTP to Mock AI trace and write=0,4 passed,PASS,backend/tests/integration/test_day04_mock_e2e.py,write_call_count=0 and AI external actions=0,NONE,backend,Run command,None,None
D04-BE-02,NFR-TEST-001,contract_report,ai_venv\Scripts\python.exe -m pytest backend\tests\integration\test_ai_mock_consumer.py -q,AI handoff received and ai-response.v0.1 validated with breaking differences 0,7 passed and AI handoff verified with stored-response revalidation,PASS,artifacts/integration/day04/contract_report.json,AI Mock external model tool provider auto-send 0,NONE,backend,Run AI consumer contract test,None,None
D04-BE-03,NFR-SAFE-001,external_write_deny,ai_venv\Scripts\python.exe -m pytest backend\tests\safety\test_production_write_deny.py backend\tests\safety\test_external_write_count.py -q,all write-like actions denied before transport and audit recorded,6 passed,PASS,backend/tests/safety,transport write_call_count=0,NONE,backend,Run safety tests,None,None
D04-BE-04,FR-INT-008,provider_failure_injection,ai_venv\Scripts\python.exe -m pytest backend\tests\integration\test_provider_partial_failure.py backend\tests\providers -q,timeout and 5xx bounded retry schema no retry healthy results preserved and degraded status explicit,19 passed,PASS,backend/tests/integration/test_provider_partial_failure.py,Production write 0,NONE,backend,Run provider tests,None,None
